Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
50,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24-337,1996,12.4,403,381,22,15,2,58,36,1,0,0,0,0,182,32,189,305,36,41,2,1,261,1,16,13,4,Matches
51,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,es La Liga,26-291,1995,0.8,18,18,0,0,0,8,0,1,0,0,0,0,6,4,8,3,10,5,0,0,9,0,0,0,1,Matches
52,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,es La Liga,23-327,1998,11.6,396,365,31,17,3,85,19,14,11,5,4,1,277,45,74,339,38,13,1,0,307,1,8,18,13,Matches
53,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-052,1998,10.7,927,744,183,37,5,82,66,43,47,8,34,1,506,156,265,93,710,19,99,0,712,4,16,33,19,Matches
54,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17-313,2004,11.2,152,147,5,1,0,40,6,16,0,0,0,0,110,29,13,101,39,3,1,5,114,1,7,6,2,Matches
55,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-057,1992,12.0,464,382,82,20,0,23,12,0,0,0,0,0,344,23,97,28,359,0,0,65,412,0,7,8,0,Matches
56,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30-324,1991,11.7,426,400,26,12,0,68,7,4,0,0,0,0,284,50,92,46,362,11,2,2,323,4,9,21,16,Matches
57,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26-274,1995,8.1,247,235,12,3,0,68,11,14,7,4,1,0,185,30,32,39,189,13,2,1,190,2,4,5,12,Matches
58,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,25-231,1996,5.7,165,156,9,4,0,26,2,2,0,0,0,0,117,25,23,9,139,8,3,1,133,1,2,7,6,Matches
59,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,eng Premier League,27-291,1994,8.0,209,205,4,2,0,34,4,11,0,0,0,0,171,15,23,191,8,5,1,2,164,0,3,8,9,Matches
60,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30-335,1990,5.9,320,254,66,6,1,57,13,20,17,10,5,0,183,66,71,235,28,5,43,0,246,1,5,8,13,Matches
61,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-111,1998,0.0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,Matches
