Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
210,Marc Bartra\b742cc0d,es ESP,DFMF,Betis,es La Liga,28,1991,28.0,2001,310,1117,878,106,31,1935,13,19,68.4,16,2,1223,6279,3536,97,15,0,16,11,1338,1295,96.8,19,Matches
211,Daniele Baselli\ea06dd97,it ITA,MF,Torino,it Serie A,27,1992,14.2,897,51,208,498,235,9,802,13,20,65.0,13,0,525,2701,1271,55,17,4,14,19,533,482,90.4,23,Matches
212,Chris Basham\1aa84968,eng ENG,DF,Sheffield Utd,eng Premier League,31,1988,36.0,1951,249,803,878,366,42,1788,27,32,84.4,27,0,962,4900,2681,119,37,7,20,15,989,905,91.5,54,Matches
213,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,fr Ligue 1,22,1996,11.0,729,22,126,499,154,4,676,18,23,78.3,19,1,498,2736,1523,73,19,2,19,19,537,485,90.3,29,Matches
214,Thomas Basila\65391fa7,fr FRA,DF,Nantes,fr Ligue 1,20,1999,4.6,293,15,93,170,35,3,267,1,1,100.0,1,0,166,602,236,8,2,0,1,2,182,176,96.7,2,Matches
215,Gil Bastião Dias\e61bdd69,pt POR,DFFW,Granada,es La Liga,22,1996,4.0,189,6,50,82,75,11,172,9,11,81.8,9,1,125,724,421,22,6,3,7,9,121,99,81.8,13,Matches
216,Gil Bastião Dias\e61bdd69,pt POR,DFMF,Monaco,fr Ligue 1,22,1996,11.7,813,34,173,469,247,24,717,28,43,65.1,30,0,547,3431,2222,107,34,7,16,19,548,475,86.7,38,Matches
217,Borja Bastón\8c44e37b,es ESP,MFFW,Aston Villa,eng Premier League,26,1992,0.2,7,1,1,5,3,1,7,0,0,,0,0,5,19,14,1,1,0,1,0,7,4,57.1,0,Matches
218,Alessandro Bastoni\75b86fb3,it ITA,DF,Inter,it Serie A,20,1999,21.3,1623,207,685,905,174,17,1553,8,15,53.3,10,0,1104,6929,4310,133,36,3,5,6,1173,1159,98.8,16,Matches
219,Bastos\c01c66d9,ao ANG,DF,Lazio,it Serie A,28,1991,8.5,509,63,248,257,51,7,499,14,19,73.7,14,0,372,1992,1144,39,10,2,2,5,370,361,97.6,4,Matches
220,Oliver Batista-Meier\b7828a08,de GER,FW,Bayern Munich,de Bundesliga,18,2001,0.1,6,0,1,2,4,0,6,0,0,,0,0,5,47,12,1,0,0,1,0,5,5,100.0,2,Matches
221,Michy Batshuayi\2973d8ff,be BEL,FW,Chelsea,eng Premier League,25,1993,2.7,120,2,13,54,61,32,114,4,8,50.0,6,0,84,384,201,8,3,3,10,4,181,87,48.1,39,Matches
222,Cristian Battocchio\0f9b8301,it ITA,MF,Brest,fr Ligue 1,27,1992,15.5,1000,40,281,534,240,22,924,10,13,76.9,10,1,615,2717,1436,54,16,2,12,10,688,619,90.0,42,Matches
223,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30.0,1381,1078,1358,30,0,0,1022,0,0,,0,0,727,2900,1581,1,0,0,0,0,656,653,99.5,0,Matches
224,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,de Bundesliga,31,1988,19.9,1338,41,298,864,228,26,1299,9,10,90.0,9,0,858,3047,1133,46,11,0,15,20,1021,939,92.0,39,Matches
225,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,de Bundesliga,19,1999,16.6,770,15,122,402,305,93,741,22,54,40.7,25,2,493,2371,1324,66,18,14,48,27,737,547,74.2,142,Matches
226,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,FW,Augsburg,de Bundesliga,22,1996,4.2,146,3,20,70,68,21,145,8,15,53.3,8,1,106,456,316,14,3,4,15,22,144,94,65.3,37,Matches
227,Ihlas Bebou\a53b661f,tg TOG,FWMF,Hoffenheim,de Bundesliga,25,1994,23.4,992,40,159,471,442,95,964,53,96,55.2,57,4,704,3495,2207,111,37,25,71,72,1074,704,65.5,236,Matches
