Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
123,Harry Arter\2f4c5a52,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,505,587,86.0,9794,2242,207,220,94.1,222,241,92.1,69,108,63.9,0,0.2,-0.2,2,51,6,1,44,Matches
124,Aythami Artiles\01ae64cd,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,75,90,83.3,1629,463,17,19,89.5,43,47,91.5,14,23,60.9,0,0.0,0.0,0,2,0,0,2,Matches
125,Kwadwo Asamoah\089550f5,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,1118,1276,87.6,20951,5838,445,483,92.1,551,606,90.9,113,162,69.8,0,1.1,-1.1,14,95,15,8,87,Matches
126,Takuma Asano\13ddc856,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8.0,134,185,72.4,2153,525,71,98,72.4,57,62,91.9,5,12,41.7,0,1.1,-1.1,9,7,8,2,15,Matches
127,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,964,1160,83.1,17155,3940,408,468,87.2,437,508,86.0,103,149,69.1,1,0.2,+0.8,9,79,8,1,90,Matches
128,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,277,469,59.1,9669,6601,37,38,97.4,107,110,97.3,130,318,40.9,0,0.0,0.0,0,4,0,0,0,Matches
129,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,1028,1226,83.8,17010,3920,564,620,91.0,362,422,85.8,91,153,59.5,6,5.6,+0.4,52,93,40,12,94,Matches
130,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,971,1290,75.3,16511,3502,502,615,81.6,349,451,77.4,106,170,62.4,5,6.5,-1.5,58,69,51,6,102,Matches
131,Benoît Assou-Ekotto\a557e6b0,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,436,606,71.9,10200,5030,133,149,89.3,189,241,78.4,110,202,54.5,0,0.3,-0.3,8,57,7,4,50,Matches
132,Simon Asta\dfc85b89,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,5,7,71.4,103,38,1,1,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
133,Davide Astori\1522dab2,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,1306,1507,86.7,27670,8553,391,415,94.2,671,725,92.6,231,339,68.1,1,0.2,+0.8,6,86,7,0,79,Matches
134,Christian Atsu\8816329f,gh GHA,FWMF,Newcastle Utd,eng Premier League,25,1992,19.8,355,507,70.0,5088,1547,211,250,84.4,105,155,67.7,22,56,39.3,2,2.7,-0.7,24,16,16,6,30,Matches
135,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,28,1989,11.7,222,324,68.5,2879,526,139,176,79.0,60,90,66.7,7,25,28.0,4,1.2,+2.8,14,11,6,2,18,Matches
136,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Dortmund,de Bundesliga,28,1989,15.7,240,339,70.8,3301,512,146,193,75.6,74,103,71.8,12,25,48.0,3,1.9,+1.1,15,16,9,3,17,Matches
137,Jean-Kévin Augustin\97bfa797,fr FRA,FW,RB Leipzig,de Bundesliga,20,1997,14.1,223,293,76.1,3066,532,142,172,82.6,58,84,69.0,11,16,68.8,5,2.4,+2.6,14,12,9,2,9,Matches
138,Ludwig Augustinsson\9fec8860,se SWE,DFMF,Werder Bremen,de Bundesliga,23,1994,28.1,1113,1435,77.6,20237,8148,479,551,86.9,501,607,82.5,123,216,56.9,1,2.6,-1.6,28,87,28,19,97,Matches
139,Yann Aurel Bisseck\3963c25b,de GER,DFFW,Köln,de Bundesliga,16,2000,1.7,75,81,92.6,1608,400,16,19,84.2,44,44,100.0,15,18,83.3,0,0.0,0.0,0,8,1,0,9,Matches
140,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,786,1036,75.9,12877,4635,388,462,84.0,325,419,77.6,56,110,50.9,2,1.9,+0.1,14,37,24,7,71,Matches
141,Charlie Austin\8d228291,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,174,247,70.4,2664,477,94,117,80.3,60,87,69.0,12,24,50.0,0,0.4,-0.4,2,14,1,0,17,Matches
142,Danilo Avelar\eacb45fd,br BRA,DFFW,Amiens,fr Ligue 1,28,1989,19.2,535,840,63.7,10542,6072,207,245,84.5,228,337,67.7,89,225,39.6,0,1.9,-1.9,14,56,18,9,88,Matches
143,Felipe Avenatti\23f9e9d3,uy URU,FWMF,Bologna,it Serie A,24,1993,5.2,80,140,57.1,1162,202,46,76,60.5,24,44,54.5,6,11,54.5,0,0.1,-0.1,3,5,5,0,8,Matches
144,Durel Avounou\833a91a1,cg CGO,MFDF,Caen,fr Ligue 1,19,1997,7.2,179,268,66.8,3071,1067,80,103,77.7,73,102,71.6,17,45,37.8,0,0.7,-0.7,5,14,1,0,17,Matches
145,Chidozie Awaziem\70d8e84c,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,461,635,72.6,9971,4682,140,158,88.6,233,279,83.5,84,182,46.2,0,0.2,-0.2,3,38,3,1,45,Matches
146,André Ayew\5dbefa9d,gh GHA,MFFW,West Ham,eng Premier League,27,1989,9.9,214,283,75.6,2801,594,137,157,87.3,57,79,72.2,7,21,33.3,2,0.2,+1.8,2,10,5,1,15,Matches
