Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
82,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,29-272,1992,11,11,990,11.0,4,0.36,32,29,93.8,8,2,1,7,63.6,2,2,0,0,0.0,Matches
83,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,24-251,1997,2,2,180,2.0,1,0.50,7,6,85.7,2,0,0,1,50.0,0,0,0,0,,Matches
84,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,21-271,2000,13,13,1170,13.0,20,1.54,62,41,69.4,2,6,5,2,15.4,1,1,0,0,0.0,Matches
85,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,24-281,1997,13,13,1170,13.0,13,1.00,37,26,70.3,5,2,6,3,23.1,3,2,1,0,33.3,Matches
86,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,it Serie A,25-281,1996,13,13,1170,13.0,22,1.69,52,33,61.5,5,4,4,1,7.7,2,2,0,0,0.0,Matches
87,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,de Bundesliga,24-015,1997,9,9,810,9.0,16,1.78,47,31,68.1,3,2,4,1,11.1,1,1,0,0,0.0,Matches
88,Juan Musso\a111cf41,ar ARG,GK,Atalanta,it Serie A,27-206,1994,13,13,1170,13.0,15,1.15,46,30,67.4,8,4,1,3,23.1,1,0,0,1,,Matches
89,Paul Nardi\2d70dbe5,fr FRA,GK,Lorient,fr Ligue 1,27-194,1994,14,14,1260,14.0,21,1.50,59,42,71.2,3,6,5,3,21.4,5,4,0,1,0.0,Matches
90,Keylor Navas\ecada4fc,cr CRC,GK,Paris S-G,fr Ligue 1,34-348,1986,9,9,784,8.7,8,0.92,32,24,75.0,8,1,0,3,33.3,0,0,0,0,,Matches
91,Neto\a9dc785c,br BRA,GK,Barcelona,es La Liga,32-132,1989,2,2,180,2.0,3,1.50,9,6,66.7,1,1,0,0,0.0,0,0,0,0,,Matches
92,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,de Bundesliga,35-246,1986,13,13,1170,13.0,13,1.00,41,28,68.3,10,1,2,4,30.8,0,0,0,0,,Matches
93,Alexander Nübel\afb0c500,de GER,GK,Monaco,fr Ligue 1,25-059,1996,14,14,1260,14.0,18,1.29,47,34,70.2,5,4,5,2,14.3,5,4,0,1,0.0,Matches
94,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,es La Liga,28-325,1993,13,13,1170,13.0,13,1.00,26,17,61.5,7,5,1,5,38.5,3,3,0,0,0.0,Matches
95,Jonas Omlin\c631f952,ch SUI,GK,Montpellier,fr Ligue 1,27-322,1994,9,9,810,9.0,12,1.33,40,28,70.0,3,3,3,3,33.3,0,0,0,0,,Matches
96,Stefan Ortega\c1242d4e,de GER,GK,Arminia,de Bundesliga,29-022,1992,13,13,1170,13.0,19,1.46,64,48,75.0,1,6,6,3,23.1,3,3,0,0,0.0,Matches
97,David Ospina\82b1198a,co COL,GK,Napoli,it Serie A,33-089,1988,11,11,990,11.0,6,0.55,30,25,83.3,8,2,1,7,63.6,1,1,0,0,0.0,Matches
98,Alexandre Oukidja\ae7d0ecd,dz ALG,GK,Metz,fr Ligue 1,33-132,1988,15,15,1347,15.0,29,1.94,65,39,58.5,2,6,7,2,13.3,2,2,0,0,0.0,Matches
99,Fernando Pacheco\97852360,es ESP,GK,Alavés,es La Liga,29-194,1992,12,12,1073,11.9,16,1.34,44,29,65.9,4,1,7,3,25.0,3,1,2,0,66.7,Matches
100,Ivor Pandur\457cb02f,hr CRO,GK,Hellas Verona,it Serie A,21-248,2000,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches
101,Rui Patrício\79b0d6a0,pt POR,GK,Roma,it Serie A,33-286,1988,13,13,1170,13.0,15,1.15,49,36,73.5,7,1,5,5,38.5,2,2,0,0,0.0,Matches
102,Philipp Pentke\c41f7379,de GER,GK,Hoffenheim,de Bundesliga,36-211,1985,1,1,90,1.0,3,3.00,7,4,57.1,1,0,0,0,0.0,0,0,0,0,,Matches
103,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,es La Liga,25-136,1996,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
104,Mattia Perin\4c62d0c8,it ITA,GK,Juventus,it Serie A,29-018,1992,3,3,270,3.0,4,1.33,8,4,50.0,2,0,1,1,33.3,0,0,0,0,,Matches
105,Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,de Bundesliga,34-015,1987,1,1,90,1.0,3,3.00,7,5,71.4,0,0,1,0,0.0,1,1,0,0,0.0,Matches
106,Danijel Petković\b98cea65,me MNE,GK,Angers,fr Ligue 1,28-187,1993,3,3,270,3.0,3,1.00,12,9,75.0,1,2,0,1,33.3,0,0,0,0,,Matches
107,Jordan Pickford\4806ec67,eng ENG,GK,Everton,eng Premier League,27-266,1994,11,11,990,11.0,16,1.45,46,30,65.2,4,3,4,3,27.3,0,0,0,0,,Matches
108,Julian Pollersbeck\d6f6ce93,de GER,GK,Lyon,fr Ligue 1,27-104,1994,2,1,105,1.2,1,0.86,6,6,100.0,1,0,0,1,100.0,1,1,0,0,0.0,Matches
109,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,eng Premier League,29-223,1992,12,12,1080,12.0,20,1.67,55,34,63.6,1,6,5,1,8.3,0,0,0,0,,Matches
110,Ivan Provedel\277da414,it ITA,GK,Spezia,it Serie A,27-256,1994,6,6,540,6.0,12,2.00,27,19,66.7,2,1,3,1,16.7,4,3,1,0,25.0,Matches
111,Boris Radunović\0dfce079,rs SRB,GK,Cagliari,it Serie A,25-186,1996,1,1,90,1.0,4,4.00,4,1,25.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
112,Predrag Rajković\58ad9383,rs SRB,GK,Reims,fr Ligue 1,26-028,1995,14,14,1260,14.0,18,1.29,47,31,66.0,2,7,5,4,28.6,3,2,0,1,0.0,Matches
113,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,eng Premier League,23-198,1998,10,10,900,10.0,8,0.80,43,31,81.4,7,2,1,6,60.0,0,0,0,0,,Matches
114,David Raya\98ea5115,es ESP,GK,Brentford,eng Premier League,26-074,1995,9,9,810,9.0,9,1.00,29,20,69.0,3,3,3,3,33.3,0,0,0,0,,Matches
115,Manolo Reina\605eb473,es ESP,GK,Mallorca,es La Liga,36-241,1985,14,14,1260,14.0,19,1.36,43,25,60.5,3,7,4,5,35.7,3,2,1,0,33.3,Matches
