Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Roman Bürki\9d12e142,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32.0,40,4,1,7,0,37.9,0.28,-2.1,-0.07,167,474,35.2,842,169,38.5,36.5,224,67.0,51.6,276,16,5.8,25,0.78,15.6,Matches
27,Ludovic Butelle\26975a92,fr FRA,GK,Angers,fr Ligue 1,35,1983,36.0,48,3,0,4,1,46.9,0.28,-0.1,0.00,259,599,43.2,694,170,54.2,43.4,277,80.5,55.6,372,33,8.9,34,0.94,14.9,Matches
28,David Button\e608ed4c,eng ENG,GK,Brighton,eng Premier League,29,1989,4.0,5,2,0,0,0,5.0,0.20,0.0,0.00,27,88,30.7,72,10,75.0,53.3,34,100.0,70.0,36,1,2.8,1,0.25,11.5,Matches
29,Willy Caballero\a179d516,ar ARG,GK,Chelsea,eng Premier League,36,1981,2.0,0,0,0,0,0,0.4,0.14,+0.4,+0.20,14,26,53.8,47,9,29.8,31.1,16,75.0,48.9,18,4,22.2,0,0.00,8.8,Matches
30,Rafael Cabral\806f7a26,br BRA,GK,Sampdoria,it Serie A,28,1990,2.0,0,0,0,0,0,0.2,0.10,+0.2,+0.10,13,30,43.3,49,8,42.9,36.9,15,60.0,45.4,13,1,7.7,0,0.00,12.6,Matches
31,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21.0,34,1,1,3,0,29.5,0.32,-4.5,-0.21,150,395,38.0,375,66,64.8,48.9,173,87.9,62.9,168,15,8.9,7,0.33,12.5,Matches
32,Yoan Cardinale\950ff24d,fr FRA,GK,Nice,fr Ligue 1,24,1994,3.0,6,1,0,0,0,3.3,0.21,-2.7,-0.89,1,1,100.0,56,17,1.8,22.5,7,0.0,23.7,24,3,12.5,3,1.00,16.6,Matches
33,Koen Casteels\db401046,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,25.5,39,4,3,2,0,44.0,0.34,+5.0,+0.19,217,477,45.5,991,150,36.8,37.7,200,56.0,50.1,243,28,11.5,23,0.90,14.8,Matches
34,Petr Čech\71672fa0,cz CZE,GK,Arsenal,eng Premier League,36,1982,6.5,9,0,0,1,0,11.1,0.33,+2.1,+0.32,32,102,31.4,213,49,33.3,35.9,54,57.4,50.4,72,6,8.3,4,0.62,14.1,Matches
35,Leandro Chichizola\8d957256,ar ARG,GK,Getafe,es La Liga,28,1990,1.0,1,0,0,0,0,0.7,0.68,-0.3,-0.32,9,23,39.1,23,3,87.0,57.4,3,100.0,77.7,6,1,16.7,2,2.00,17.8,Matches
36,Jasper Cillessen\04ac8285,nl NED,GK,Barcelona,es La Liga,29,1989,3.0,4,1,0,0,0,4.2,0.25,+0.2,+0.06,14,24,58.3,90,15,18.9,27.5,25,28.0,32.1,32,1,3.1,6,2.00,18.3,Matches
37,Joel Coleman\b73e459a,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1.0,1,0,0,0,0,0.8,0.27,-0.2,-0.19,6,30,20.0,31,0,77.4,54.8,6,100.0,68.3,10,0,0.0,0,0.00,12.7,Matches
38,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,it Serie A,31,1987,35.7,56,4,0,11,2,48.3,0.30,-5.7,-0.16,225,524,42.9,890,161,43.0,36.7,282,50.0,40.7,369,24,6.5,18,0.50,14.1,Matches
39,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37.0,42,6,1,11,0,45.0,0.27,+3.0,+0.08,277,612,45.3,844,123,47.0,40.9,306,70.3,53.3,360,16,4.4,24,0.65,14.0,Matches
40,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,26,1992,27.0,36,6,0,3,0,32.5,0.29,-3.5,-0.13,110,289,38.1,651,166,31.0,34.4,180,48.3,45.7,188,19,10.1,11,0.41,14.2,Matches
41,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,it Serie A,24,1994,38.0,54,8,1,5,2,56.5,0.25,+4.5,+0.12,356,766,46.5,891,172,53.5,42.0,361,80.1,58.2,449,34,7.6,11,0.29,12.9,Matches
42,Iván Cuéllar\75751c99,es ESP,GK,Leganés,es La Liga,34,1984,33.9,38,2,2,2,1,36.4,0.32,-0.6,-0.02,317,774,41.0,782,92,68.2,51.4,269,89.6,66.1,364,26,7.1,20,0.59,14.4,Matches
43,Abdoulaye Diallo\26383ea5,sn SEN,GK,Rennes,fr Ligue 1,26,1992,5.5,4,1,0,1,0,4.8,0.22,+0.8,+0.15,32,70,45.7,112,23,42.9,36.3,35,62.9,46.7,37,3,8.1,3,0.55,13.7,Matches
44,Javier Díaz\17a1299d,es ESP,GK,Sevilla,es La Liga,21,1997,1.0,1,1,0,0,0,0.7,,-0.3,-0.31,5,13,38.5,19,3,47.4,39.5,5,80.0,57.0,9,0,0.0,1,1.00,14.2,Matches
45,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21.0,35,6,0,6,0,32.6,0.29,-2.4,-0.12,172,370,46.5,479,112,54.1,42.6,169,65.7,51.4,231,18,7.8,7,0.33,12.9,Matches
46,Marko Dmitrović\ac295d9e,rs SRB,GK,Eibar,es La Liga,26,1992,24.0,30,3,2,3,0,27.7,0.31,-2.3,-0.10,206,577,35.7,593,67,73.2,55.4,155,92.3,74.2,183,15,8.2,39,1.63,17.0,Matches
47,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,es La Liga,27,1990,4.0,1,0,0,1,0,2.0,0.17,+1.0,+0.25,27,59,45.8,64,19,50.0,38.9,30,90.0,58.1,42,2,4.8,1,0.25,11.9,Matches
48,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Milan,it Serie A,19,1999,34.3,31,3,1,5,1,35.0,0.27,+5.0,+0.14,196,373,52.5,869,194,27.5,30.1,292,45.9,39.5,364,31,8.5,14,0.41,13.8,Matches
49,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,it Serie A,20,1997,2.5,2,0,0,1,0,2.5,0.35,+0.5,+0.18,20,53,37.7,76,9,51.3,42.4,30,46.7,42.4,19,2,10.5,3,1.20,15.5,Matches
50,Bartłomiej Drągowski\085e71a7,pl POL,GK,Empoli,it Serie A,20,1997,14.0,24,3,0,3,0,26.1,0.26,+2.1,+0.15,72,222,32.4,329,95,41.9,38.4,152,55.3,48.0,157,7,4.5,9,0.64,13.6,Matches
51,Jaroslav Drobný\e4a30d8c,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2.0,3,0,0,0,0,2.9,0.33,-0.1,-0.03,12,22,54.5,27,5,66.7,44.7,10,40.0,40.3,8,0,0.0,1,0.50,15.2,Matches
52,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38.0,48,6,2,10,1,49.2,0.33,+2.2,+0.06,276,740,37.3,854,145,54.6,43.9,322,85.1,62.5,412,36,8.7,23,0.61,13.2,Matches
53,Maxime Dupé\0e12089d,fr FRA,GK,Nantes,fr Ligue 1,25,1993,10.4,17,2,2,2,0,12.8,0.35,-4.2,-0.40,71,196,36.2,210,38,55.2,44.5,91,87.9,64.4,92,4,4.3,6,0.58,16.0,Matches
54,Ederson\3bb7b8b4,br BRA,GK,Manchester City,eng Premier League,24,1993,38.0,23,4,1,5,0,27.5,0.32,+4.5,+0.12,148,290,51.0,912,176,21.9,30.0,187,48.1,47.8,182,17,9.3,27,0.71,16.8,Matches
55,Michael Esser\83e0eeb4,de GER,GK,Hannover 96,de Bundesliga,30,1987,32.0,67,5,1,12,1,58.6,0.26,-6.4,-0.20,313,653,47.9,947,141,51.2,40.7,284,59.2,46.3,353,17,4.8,28,0.88,15.0,Matches
56,Neil Etheridge\2642bf6c,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38.0,69,4,1,12,0,71.1,0.33,+2.1,+0.06,335,1119,29.9,883,50,90.8,61.9,320,99.1,70.3,293,20,6.8,35,0.92,15.6,Matches
57,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,33,1985,38.0,55,4,0,10,1,65.4,0.33,+11.4,+0.30,323,871,37.1,928,155,62.9,49.4,308,93.2,68.2,367,36,9.8,17,0.45,13.5,Matches
58,Fabricio\af245161,es ESP,GK,Fulham,eng Premier League,30,1987,2.0,5,0,1,0,0,7.2,0.33,+2.2,+1.10,16,29,55.2,47,14,42.6,38.6,14,64.3,41.5,18,0,0.0,2,1.00,14.4,Matches
59,Ralf Fährmann\1e43fad8,de GER,GK,Schalke 04,de Bundesliga,29,1988,16.3,26,2,1,4,1,25.4,0.32,+0.4,+0.03,114,256,44.5,396,68,46.2,40.6,118,61.9,49.4,138,12,8.7,15,0.92,17.2,Matches
60,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,27,1991,16.0,24,4,0,4,2,23.1,0.27,+1.1,+0.07,104,282,36.9,292,74,56.5,44.3,163,71.8,53.1,142,8,5.6,9,0.56,13.4,Matches
61,Andrés Fernández\307fcd26,es ESP,GK,Villarreal,es La Liga,31,1986,6.0,7,1,0,1,0,8.6,0.34,+1.6,+0.26,52,105,49.5,138,18,51.4,42.2,49,69.4,50.3,70,5,7.1,6,1.00,14.9,Matches
62,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,25,1993,1.0,1,0,0,0,0,0.9,0.17,-0.1,-0.15,8,13,61.5,24,1,41.7,37.2,5,60.0,53.6,3,0,0.0,0,0.00,13.0,Matches
63,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,eng Premier League,30,1988,1.0,3,0,0,0,0,1.9,0.32,-1.1,-1.08,5,18,27.8,16,4,68.8,47.9,7,100.0,74.3,4,0,0.0,0,0.00,10.0,Matches
64,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,35,1983,38.0,59,4,2,7,3,56.3,0.32,+0.3,+0.01,366,979,37.4,944,106,73.7,52.8,307,92.2,68.3,380,35,9.2,48,1.26,15.7,Matches
65,Pierluigi Frattali\71dac2c2,it ITA,GK,Parma,it Serie A,32,1985,1.0,2,0,0,0,0,2.0,0.23,0.0,+0.04,5,16,31.3,23,6,34.8,35.5,15,53.3,41.7,13,1,7.7,0,0.00,7.4,Matches
66,Alberto García\17d9e354,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17.0,35,1,0,5,2,29.6,0.32,-3.4,-0.20,137,279,49.1,408,82,47.8,40.8,124,67.7,50.9,187,11,5.9,9,0.53,14.4,Matches
67,Paulo Gazzaniga\63d17038,ar ARG,GK,Tottenham,eng Premier League,26,1992,3.0,2,0,0,0,0,4.7,0.36,+2.7,+0.90,18,50,36.0,80,12,35.0,35.4,26,84.6,59.3,36,2,5.6,1,0.33,13.9,Matches
68,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38.0,54,6,2,7,3,49.6,0.27,-1.4,-0.04,321,686,46.8,772,145,54.0,44.5,332,81.0,60.6,307,18,5.9,13,0.34,12.4,Matches
69,Fabian Giefer\fbefefdb,de GER,GK,Augsburg,de Bundesliga,28,1990,4.0,7,0,0,1,0,5.5,0.31,-1.5,-0.36,28,63,44.4,85,15,55.3,44.1,24,66.7,54.7,38,0,0.0,0,0.00,10.3,Matches
70,Mauro Goicoechea\132bb875,uy URU,GK,Toulouse,fr Ligue 1,30,1988,7.9,12,1,1,1,0,10.0,0.26,-2.0,-0.25,52,138,37.7,182,37,49.5,40.9,72,66.7,52.2,84,5,6.0,3,0.38,12.3,Matches
71,Pierluigi Gollini\f0f7f62f,it ITA,GK,Atalanta,it Serie A,23,1995,20.0,21,3,2,1,0,19.0,0.25,-2.0,-0.10,108,276,39.1,454,81,38.3,36.7,132,77.3,57.8,153,8,5.2,17,0.85,15.9,Matches
72,Alfred Gomis\cecbce23,sn SEN,GK,SPAL,it Serie A,24,1993,19.2,27,1,0,7,0,24.4,0.32,-2.6,-0.14,109,299,36.5,536,120,39.9,36.9,146,58.2,46.2,159,11,6.9,8,0.42,13.2,Matches
73,Mathieu Gorgelin\4d3e9033,fr FRA,GK,Lyon,fr Ligue 1,27,1990,4.0,5,0,1,1,0,3.5,0.23,-1.5,-0.37,12,21,57.1,77,21,14.3,25.9,23,43.5,41.3,34,5,14.7,4,1.00,18.3,Matches
74,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,eng Premier League,31,1987,19.5,23,1,0,2,1,21.6,0.25,-0.4,-0.02,134,418,32.1,403,83,60.5,47.4,190,91.6,64.3,207,17,8.2,4,0.21,12.1,Matches
75,Guido Guerrieri\77e401c7,it ITA,GK,Lazio,it Serie A,22,1996,1.0,3,0,0,1,0,2.7,0.54,-0.3,-0.30,2,10,20.0,25,8,24.0,28.9,9,44.4,41.0,10,0,0.0,3,3.00,20.0,Matches
76,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,de Bundesliga,28,1990,32.5,28,4,1,4,1,32.1,0.27,+6.1,+0.19,253,619,40.9,792,124,54.4,44.3,218,86.2,61.6,242,15,6.2,42,1.29,17.1,Matches
77,Angus Gunn\e082af5b,eng ENG,GK,Southampton,eng Premier League,22,1996,12.0,18,0,0,4,0,15.2,0.31,-2.8,-0.23,73,257,28.4,216,15,80.1,55.8,91,92.3,67.3,101,6,5.9,8,0.67,13.5,Matches
78,Régis Gurtner\bc270726,fr FRA,GK,Amiens,fr Ligue 1,31,1986,38.0,54,6,3,8,2,49.1,0.28,-0.9,-0.02,303,813,37.3,827,85,63.2,48.1,322,90.1,62.1,362,24,6.6,21,0.55,14.6,Matches
79,Ben Hamer\d822a850,eng ENG,GK,Huddersfield,eng Premier League,30,1987,6.1,21,3,2,2,1,15.9,0.35,-4.1,-0.67,63,167,37.7,154,12,79.2,53.6,52,86.5,62.3,53,4,7.5,2,0.33,14.2,Matches
80,Samir Handanović\74419746,si SVN,GK,Inter,it Serie A,34,1984,38.0,33,3,1,3,3,35.4,0.26,+5.4,+0.14,172,360,47.8,895,201,27.6,30.1,256,44.1,39.1,337,16,4.7,13,0.34,12.6,Matches
81,Joe Hart\cb4f24c6,eng ENG,GK,Burnley,eng Premier League,31,1987,19.0,41,1,1,8,1,38.2,0.32,-1.8,-0.09,189,503,37.6,420,47,79.0,56.9,178,96.1,72.5,203,12,5.9,15,0.79,14.4,Matches
82,Tom Heaton\a6de6361,eng ENG,GK,Burnley,eng Premier League,32,1986,19.0,27,1,1,2,3,23.0,0.28,-1.0,-0.05,172,473,36.4,416,45,77.2,55.2,171,88.9,66.1,228,10,4.4,15,0.79,15.2,Matches
83,Wayne Hennessey\76eca7e2,wls WAL,GK,Crystal Palace,eng Premier League,31,1987,17.5,26,3,1,5,0,22.1,0.29,-3.9,-0.22,115,352,32.7,366,60,62.3,49.2,145,85.5,68.4,183,8,4.4,13,0.74,15.1,Matches
84,Iago Herrerín\9109185e,es ESP,GK,Athletic Club,es La Liga,30,1988,31.0,32,3,0,4,0,27.5,0.30,-4.5,-0.15,352,767,45.9,777,85,73.1,52.6,213,93.4,69.1,299,22,7.4,26,0.84,16.0,Matches
85,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2.0,4,0,0,1,0,2.9,0.58,-1.1,-0.56,7,20,35.0,52,6,26.9,31.8,13,46.2,45.9,22,2,9.1,1,0.50,14.0,Matches
86,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32.0,49,3,2,10,2,40.9,0.30,-4.1,-0.13,238,509,46.8,1168,160,34.6,35.0,196,53.6,44.6,233,22,9.4,28,0.88,16.0,Matches
87,Salvador Ichazo\514f0896,uy URU,GK,Torino,it Serie A,26,1992,2.8,2,1,0,1,0,2.7,0.24,+0.7,+0.23,27,59,45.8,61,9,62.3,47.0,26,80.8,54.0,22,2,9.1,0,0.00,13.1,Matches
88,Gorka Iraizoz\26f2473f,es ESP,GK,Girona,es La Liga,37,1981,6.2,10,2,0,1,1,14.2,0.36,+5.2,+0.83,51,126,40.5,164,45,52.4,42.4,65,61.5,46.5,75,7,9.3,2,0.32,11.9,Matches
89,Jandrei\85ea4399,br BRA,GK,Genoa,it Serie A,25,1993,1.0,1,0,0,1,0,0.8,0.45,-0.2,-0.24,11,21,52.4,25,3,68.0,47.6,6,66.7,56.0,4,0,0.0,2,2.00,23.6,Matches
90,Rune Jarstein\27d2618c,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,30.5,48,2,1,6,2,47.5,0.32,+1.5,+0.05,369,818,45.1,884,102,63.8,45.9,277,91.7,64.1,270,32,11.9,15,0.49,13.8,Matches
91,Karl-Johan Johnsson\a56bd2ee,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17.0,34,2,1,1,0,21.8,0.28,-12.2,-0.72,141,345,40.9,352,57,64.8,48.5,128,91.4,66.2,131,9,6.9,11,0.65,15.4,Matches
92,Aleksandar Jovanović\129dd8e7,rs SRB,GK,Huesca,es La Liga,25,1992,12.0,19,2,1,1,1,15.8,0.33,-2.2,-0.19,79,248,31.9,255,22,68.6,50.0,80,91.3,64.9,91,5,5.5,5,0.42,13.9,Matches
93,Stefanos Kapino\62ba5881,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,0.5,1,0,0,0,0,0.5,0.19,-0.5,-0.96,1,4,25.0,13,7,23.1,31.2,3,33.3,39.0,5,0,0.0,0,0.00,7.0,Matches
94,Orestis Karnezis\85b011bb,gr GRE,GK,Napoli,it Serie A,33,1985,9.0,7,1,0,0,0,8.3,0.30,+1.3,+0.15,33,102,32.4,178,34,37.6,34.3,57,61.4,49.9,66,3,4.5,1,0.11,11.7,Matches
95,Eiji Kawashima\a4527d33,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1.0,0,0,0,0,0,0.1,0.09,+0.1,+0.09,13,28,46.4,25,7,52.0,43.4,15,100.0,76.1,10,1,10.0,0,0.00,12.9,Matches
96,Gregor Kobel\cd59b9df,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1.0,1,1,0,0,0,1.7,0.13,+0.7,+0.71,15,30,50.0,37,3,67.6,47.2,5,100.0,66.2,10,1,10.0,2,2.00,16.5,Matches
97,Gregor Kobel\cd59b9df,ch SUI,GK,Augsburg,de Bundesliga,20,1997,15.4,42,1,1,9,1,31.0,0.35,-10.0,-0.65,83,235,35.3,408,72,41.2,37.2,116,57.8,49.8,143,14,9.8,16,1.04,14.7,Matches
98,Tomáš Koubek\dc366c36,cz CZE,GK,Rennes,fr Ligue 1,25,1992,32.5,48,3,0,9,1,39.0,0.28,-8.0,-0.25,206,477,43.2,638,129,46.9,40.8,242,73.6,56.0,328,13,4.0,27,0.83,16.4,Matches
99,Thomas Kraft\bb25c778,de GER,GK,Hertha BSC,de Bundesliga,30,1988,3.5,9,2,0,0,0,5.0,0.30,-4.0,-1.13,38,86,44.2,94,7,63.8,43.7,29,89.7,61.7,18,1,5.6,1,0.29,13.7,Matches
100,Alban Lafont\4e7db402,fr FRA,GK,Fiorentina,it Serie A,19,1999,33.5,40,5,1,5,3,33.5,0.24,-3.5,-0.10,174,482,36.1,753,160,44.6,40.0,255,57.3,47.9,348,23,6.6,28,0.84,15.1,Matches
101,Benjamin Lecomte\2fa2a875,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37.0,42,3,1,7,3,40.7,0.28,+1.7,+0.05,336,744,45.2,997,167,56.6,44.3,265,67.9,52.2,307,22,7.2,26,0.70,15.6,Matches
102,Bernd Leno\2628fd2b,de GER,GK,Arsenal,eng Premier League,26,1992,31.5,42,7,1,4,2,44.4,0.29,+4.4,+0.14,140,434,32.3,877,174,33.9,35.7,226,60.6,49.7,257,16,6.2,19,0.60,14.7,Matches
103,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,eng Premier League,31,1986,33.0,33,3,1,5,3,40.2,0.31,+10.2,+0.31,224,485,46.2,940,158,37.0,36.1,251,54.6,46.0,285,11,3.9,15,0.45,14.4,Matches
104,Anthony Lopes\f00de885,pt POR,GK,Lyon,fr Ligue 1,27,1990,34.0,42,5,1,2,3,35.8,0.25,-3.2,-0.10,160,362,44.2,826,163,32.4,33.4,239,39.3,40.3,248,12,4.8,15,0.44,14.6,Matches
105,Diego López\73683fa9,es ESP,GK,Espanyol,es La Liga,36,1981,38.0,50,6,5,8,2,50.0,0.28,+2.0,+0.05,255,602,42.4,874,129,43.2,38.4,329,68.1,50.3,452,30,6.6,6,0.16,12.5,Matches
106,Pau López\20b9f052,es ESP,GK,Betis,es La Liga,23,1994,33.0,47,3,2,9,0,44.5,0.30,-2.5,-0.08,145,347,41.8,976,173,24.9,28.9,245,42.4,39.5,258,24,9.3,33,1.00,16.0,Matches
