Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
11,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-123,1998,0.8,0,0,0,5,2,3,1,0,1,0,0,0,6,7,2,77.8,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-031,1991,9.0,2,0,0,15,22,0,46,12,9,0,0,0,67,10,19,34.5,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-138,1996,7.5,0,0,0,15,18,2,3,5,5,0,0,0,42,17,39,30.4,Matches
14,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,22-287,1999,6.0,2,0,0,9,5,0,1,12,6,0,0,0,77,8,4,66.7,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-189,1993,3.4,0,0,0,5,8,4,6,4,9,0,0,0,20,5,12,29.4,Matches
16,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-202,2000,5.4,1,0,0,10,8,4,2,8,9,0,0,0,34,8,18,30.8,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-122,2000,10.3,2,0,0,8,18,2,16,19,11,0,0,0,73,6,9,40.0,Matches
18,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-313,2003,1.1,1,0,0,2,1,0,3,1,0,0,0,0,7,2,2,50.0,Matches
19,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-202,1996,7.9,1,0,0,10,13,0,22,10,9,0,1,0,52,12,17,41.4,Matches
20,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
