Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
249,Chaouki Ben Saada\61d618fa,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,3.8,7,7,5,1,1,1,8,12.5,7,110,24,21.8,37,52,21,5,1,0,4,1,8,2,0,Matches
250,Wissam Ben Yedder\942b4f90,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,7,3,0,4,3,1,5,20.0,4,410,121,29.5,17,199,194,10,0,0,10,6,13,1,0,Matches
251,Diego Benaglio\b7e7937d,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
252,Ahmad Benali\a128b07e,ly LBY,MF,Crotone,it Serie A,25,1992,9.0,26,19,10,13,3,5,25,20.0,20,254,62,24.4,85,117,52,17,1,0,16,6,32,13,0,Matches
253,Yohan Benalouane\8309b068,tn TUN,DF,Leicester City,eng Premier League,30,1987,1.0,6,0,3,3,0,4,6,66.7,2,9,1,11.1,4,5,0,2,1,0,1,3,9,9,0,Matches
254,Marco Benassi\0000acda,it ITA,MFFW,Fiorentina,it Serie A,22,1994,30.9,58,39,17,24,17,24,78,30.8,54,527,181,34.3,100,243,184,61,6,0,55,32,90,30,0,Matches
255,Medhi Benatia\3b15ef2d,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,31,24,20,9,2,8,19,42.1,11,146,60,41.1,84,52,10,23,11,0,12,30,61,88,0,Matches
256,Lars Bender\c50281a0,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,17.7,57,31,24,26,7,27,56,48.2,29,371,102,27.5,132,202,37,37,5,0,32,15,72,47,0,Matches
257,Sven Bender\070ec0b1,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,43,30,27,16,0,13,31,41.9,18,263,102,38.8,144,112,7,64,21,1,43,27,70,129,0,Matches
258,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,0.4,0,0,0,0,0,0,0,,0,6,3,50.0,4,2,0,2,1,0,1,1,1,1,0,Matches
259,Nicolas Benezet\30395d3b,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,18.3,30,16,14,14,2,6,23,26.1,17,331,113,34.1,69,161,101,11,0,0,11,14,44,2,0,Matches
260,Marcel Benger\379c0717,de GER,MF,M'Gladbach,de Bundesliga,19,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0,Matches
262,Charlison Benschop\fc93fdf1,cw CUW,MFFW,Hannover 96,de Bundesliga,27,1989,2.0,5,4,2,3,0,1,10,10.0,9,62,12,19.4,14,35,13,0,0,0,0,2,7,2,0,Matches
263,Ramy Bensebaini\378825c7,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,42,19,29,10,3,14,38,36.8,24,237,84,35.4,150,65,22,62,15,0,47,36,78,100,0,Matches
264,Nabil Bentaleb\3189f61a,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,21,16,5,15,1,4,27,14.8,23,197,54,27.4,53,123,21,22,6,0,16,11,32,17,0,Matches
265,Rodrigo Bentancur\3b8674e6,uy URU,MF,Juventus,it Serie A,20,1997,6.5,28,19,11,15,2,5,20,25.0,15,169,65,38.5,49,82,38,10,1,0,9,5,33,11,0,Matches
266,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,10,8,1,7,2,1,18,5.6,17,238,62,26.1,9,133,96,18,4,1,14,7,17,42,0,Matches
267,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,8,6,2,3,3,0,15,0.0,15,400,73,18.3,20,179,201,14,1,0,13,6,14,18,0,Matches
268,Yassine Benzia\6fbde63a,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,25.4,56,38,17,27,12,16,48,33.3,32,502,131,26.1,91,299,112,36,3,0,33,20,76,6,0,Matches
269,Saido Berahino\25b166d0,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,3,2,0,2,1,1,2,50.0,1,91,22,24.2,12,37,42,5,1,0,4,3,6,1,0,Matches
270,Domenico Berardi\53a0e358,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,30,21,7,15,8,10,55,18.2,45,595,135,22.7,113,271,211,26,0,0,26,13,43,14,1,Matches
271,Yuri Berchiche\b6e50615,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,34,20,19,9,6,15,33,45.5,18,268,103,38.4,125,87,56,38,3,0,35,18,52,25,0,Matches
272,Álex Berenguer\dc1c2fce,es ESP,FW,Torino,it Serie A,22,1995,11.6,22,12,6,10,6,8,18,44.4,10,289,81,28.0,64,133,92,26,2,0,24,7,29,8,0,Matches
273,Bartosz Bereszyński\61b3978f,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,70,45,37,27,6,29,58,50.0,29,382,124,32.5,189,132,61,74,11,1,63,18,88,64,0,Matches
274,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,eng Premier League,26,1990,31.5,39,20,19,12,8,16,42,38.1,26,501,137,27.3,161,199,141,45,3,0,42,43,82,45,0,Matches
275,Markel Bergara\04a65a8f,es ESP,MF,Getafe,es La Liga,31,1986,16.3,27,16,13,14,0,4,27,14.8,23,280,64,22.9,71,184,25,12,1,0,11,17,44,17,1,Matches
276,Emil Berggreen\8be4fd6a,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,4,4,0,1,3,1,5,20.0,4,107,23,21.5,7,52,48,10,3,0,7,0,4,8,0,Matches
277,Robert Berić\9001138b,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,5,4,1,2,2,2,14,14.3,12,245,67,27.3,16,102,127,12,1,0,11,7,12,3,0,Matches
278,Kévin Bérigaud\3250c6cd,fr FRA,MFFW,Montpellier,fr Ligue 1,29,1988,3.0,4,0,1,1,2,3,6,50.0,3,27,10,37.0,1,11,15,0,0,0,0,1,5,1,0,Matches
279,Etrit Berisha\ee833569,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,2,2,Matches
280,Federico Bernardeschi\ee93c1a9,it ITA,FWMF,Juventus,it Serie A,23,1994,9.4,14,10,7,4,3,5,9,55.6,4,134,30,22.4,36,59,39,19,0,0,19,9,23,11,1,Matches
