Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
53,Álex Alegría\46166b49,es ESP,FW,Levante,es La Liga,24,1992,7.0,10,1.43,6,0,0,0,4,0,2,0.29,1,0,0,0,1,0,Matches
54,Iván Alejo\3d7e48ce,es ESP,FWMF,Eibar,es La Liga,22,1995,12.2,29,2.37,23,0,2,0,4,0,3,0.25,3,0,0,0,0,0,Matches
55,Alexander\3e1858af,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.8,27,2.29,20,1,1,2,3,0,3,0.25,2,0,0,0,1,0,Matches
56,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,41,2.35,28,8,0,3,0,2,3,0.17,2,0,0,1,0,0,Matches
57,Alexis\db0cd1ae,es ESP,DF,Alavés,es La Liga,31,1985,24.3,13,0.54,11,1,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
58,Alisson\7a2e46a8,br BRA,GK,Roma,it Serie A,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
59,Allan\cc700722,br BRA,MF,Napoli,it Serie A,26,1991,31.7,97,3.06,74,1,6,3,7,6,15,0.47,12,0,0,0,1,2,Matches
60,Joe Allen\9feb8f24,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,64,1.83,52,4,1,2,3,2,11,0.32,7,1,0,0,2,1,Matches
61,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,124,3.77,90,1,6,7,17,3,20,0.61,14,0,0,4,2,0,Matches
62,José Alonso Lara\7e28d6f7,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Júnior Alonso\b18a3023,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,21,0.68,19,2,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
64,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,26,1990,31.7,75,2.36,61,4,3,4,2,1,5,0.16,5,0,0,0,0,0,Matches
65,Ricky Álvarez\92a5ac34,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3.0,13,4.42,7,3,0,2,0,1,1,0.34,0,0,0,0,0,1,Matches
66,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,9,1.20,7,1,0,0,1,0,1,0.13,1,0,0,0,0,0,Matches
68,Dani Alves\c9e99e49,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,84,3.66,72,4,0,7,1,0,12,0.52,12,0,0,0,0,0,Matches
69,Ibrahim Amadou\9260926b,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,22,0.82,19,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
70,Eloi Amagat\12a875ce,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Morgan Amalfitano\ab914649,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,15,1.81,12,0,0,3,0,0,2,0.24,1,0,0,1,0,0,Matches
